borehole,temperature,depth
85-18,36.144,54.18
85-18,53.404,88.07
85-18,56.263,118.88
85-18,52.905,142.93
85-18,46.756,204.79
85-18,46.733,237.51
85-18,49.82,272.56
85-18,56.139,298.32
85-18,66.031,324.33
85-18,74.532,361.85
85-18,82.81,387.74
85-18,91.551,411.56
85-18,102.704,446.1
85-18,115.705,474.42
85-18,124.899,508.83
85-18,130.298,533.47
85-18,130.277,564.08
85-18,129.792,597.83
85-18,128.735,627.31
85-18,128.257,652.62
85-18,127.772,686.36
85-18,127.289,719.05
85-18,126.346,749.6
85-18,125.867,775.96
85-18,124.806,810.72
85-18,126.053,839.31
85-18,126.954,869.98
85-18,127.276,903.78
85-18,124.722,932.11
85-18,121.128,963.53
85-18,118.917,995.05
85-18,122.351,1028.01
85-18,125.674,1054.62
85-18,125.765,1089.46
85-18,126.32,1121.17
85-18,126.529,1151.8
85-18,127.315,1181.41
85-18,128.911,1205.79
85-18,129.576,1243.84
85-18,130.825,1271.37
85-18,132.878,1301.06
85-18,133.778,1332.79
85-18,139.293,1355.34
